SampleID	BarcodeID_F	BarcodeID_R	SampleName	AddInfo1	AddInfo2
PQ-04-061_Day2_Mosq7_Rep2	Fwd_01	Rev_11	Rep2	NA	NA
PQ-04-061_Day2_Mosq9_Rep2	Fwd_02	Rev_12	Rep2	NA	NA
PQ-04-061_Day7_Mosq6_Rep2	Fwd_03	Rev_13	Rep2	NA	NA
PQ-04-061_Day7_Mosq7_Rep2	Fwd_04	Rev_14	Rep2	NA	NA
PQ-04-061_Day7_Mosq10_Rep2	Fwd_05	Rev_15	Rep2	NA	NA
PQ-04-067_Day0_Mosq7_Rep2	Fwd_06	Rev_16	Rep2	NA	NA
PQ-04-067_Day0_Mosq60_Rep2	Fwd_07	Rev_17	Rep2	NA	NA
PQ-04-069_Day0_Mosq1_Rep2	Fwd_08	Rev_18	Rep2	NA	NA
PQ-04-069_Day0_Mosq4_Rep2	Fwd_09	Rev_19	Rep2	NA	NA
PQ-04-069_Day0_Mosq5_Rep2	Fwd_10	Rev_20	Rep2	NA	NA
PQ-04-069_Day2_Mosq5_Rep2	Fwd_21	Rev_31	Rep2	NA	NA
PQ-04-069_Day2_Mosq6_Rep2	Fwd_22	Rev_32	Rep2	NA	NA
PQ-04-069_Day2_Mosq9_Rep2	Fwd_23	Rev_33	Rep2	NA	NA
PQ-04-069_Day7_Mosq9_Rep2	Fwd_24	Rev_34	Rep2	NA	NA
PQ-04-069_Day7_Mosq16_Rep2	Fwd_25	Rev_35	Rep2	NA	NA
PQ-04-069_Day7_Mosq25_Rep2	Fwd_26	Rev_36	Rep2	NA	NA
PQ-04-073_Day0_Mosq1_Rep2	Fwd_27	Rev_37	Rep2	NA	NA
PQ-04-073_Day0_Mosq5_Rep2	Fwd_28	Rev_38	Rep2	NA	NA
PQ-04-073_Day0_Mosq11_Rep2	Fwd_29	Rev_39	Rep2	NA	NA
PQ-04-073_Day2_Mosq14_Rep2	Fwd_30	Rev_40	Rep2	NA	NA
